matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,auto,0,0.082
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,auto,1,0.084
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,auto,10,0.078
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,auto,50,0.079
matrix_mkt/bcspwr06.mtx,parallel (CSB),16,auto,100,0.080
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,auto,0,0.064
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,auto,1,0.077
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,auto,10,0.075
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,auto,50,0.069
matrix_mkt/bcspwr06.mtx,parallel (CSB),4,auto,100,0.086
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,static,0,2.094
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,static,1,1.122
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,static,10,3.646
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,static,50,0.600
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,static,100,0.321
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,static,0,0.113
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,static,1,0.110
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,static,10,0.113
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,static,50,0.108
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,static,100,0.113
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,static,0,0.074
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,static,1,0.078
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,static,10,0.084
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,static,50,0.080
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,static,100,0.083
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,static,0,0.077
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,static,1,0.069
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,static,10,0.079
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,static,50,0.075
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,static,100,0.065
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,dynamic,0,6.146
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,dynamic,1,4.138
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,dynamic,10,0.564
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,dynamic,50,0.352
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,dynamic,100,3.122
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,dynamic,0,0.126
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,dynamic,1,0.117
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,dynamic,10,0.117
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,dynamic,50,0.110
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,dynamic,100,0.104
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,dynamic,0,0.081
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,dynamic,1,0.074
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,dynamic,10,0.082
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,dynamic,50,0.072
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,dynamic,100,0.080
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,dynamic,0,0.070
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,dynamic,1,0.079
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,dynamic,10,0.072
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,dynamic,50,0.082
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,dynamic,100,0.069
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,guided,0,0.747
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,guided,1,0.430
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,guided,10,6.671
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,guided,50,0.370
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,guided,100,2.381
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,guided,0,0.140
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,guided,1,0.127
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,guided,10,0.110
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,guided,50,0.098
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,guided,100,0.104
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,guided,0,0.073
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,guided,1,0.074
