matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/bcspwr08.mtx,PAR,64,static,1,0.109
matrix_mkt/bcspwr08.mtx,PAR,64,static,10,0.069
matrix_mkt/bcspwr08.mtx,PAR,64,static,50,0.063
matrix_mkt/bcspwr08.mtx,PAR,64,static,100,0.097
matrix_mkt/bcspwr08.mtx,PAR,32,static,0,0.035
matrix_mkt/bcspwr08.mtx,PAR,32,static,1,0.071
matrix_mkt/bcspwr08.mtx,PAR,32,static,10,0.042
matrix_mkt/bcspwr08.mtx,PAR,32,static,50,0.034
matrix_mkt/bcspwr08.mtx,PAR,32,static,100,0.035
matrix_mkt/bcspwr08.mtx,PAR,16,static,0,0.023
matrix_mkt/bcspwr08.mtx,PAR,16,static,1,0.066
matrix_mkt/bcspwr08.mtx,PAR,16,static,10,0.032
matrix_mkt/bcspwr08.mtx,PAR,16,static,50,0.024
matrix_mkt/bcspwr08.mtx,PAR,16,static,100,0.028
matrix_mkt/bcspwr08.mtx,PAR,4,static,0,0.017
matrix_mkt/bcspwr08.mtx,PAR,4,static,1,0.045
matrix_mkt/bcspwr08.mtx,PAR,4,static,10,0.033
matrix_mkt/bcspwr08.mtx,PAR,4,static,50,0.022
matrix_mkt/bcspwr08.mtx,PAR,4,static,100,0.019
matrix_mkt/bcspwr08.mtx,PAR,64,dynamic,0,6.932
matrix_mkt/bcspwr08.mtx,PAR,64,dynamic,1,1.527
matrix_mkt/bcspwr08.mtx,PAR,64,dynamic,10,0.139
matrix_mkt/bcspwr08.mtx,PAR,64,dynamic,50,0.060
matrix_mkt/bcspwr08.mtx,PAR,64,dynamic,100,0.058
matrix_mkt/bcspwr08.mtx,PAR,32,dynamic,0,0.172
matrix_mkt/bcspwr08.mtx,PAR,32,dynamic,1,0.174
matrix_mkt/bcspwr08.mtx,PAR,32,dynamic,10,0.045
matrix_mkt/bcspwr08.mtx,PAR,32,dynamic,50,0.034
matrix_mkt/bcspwr08.mtx,PAR,32,dynamic,100,0.033
matrix_mkt/bcspwr08.mtx,PAR,16,dynamic,0,0.197
matrix_mkt/bcspwr08.mtx,PAR,16,dynamic,1,0.180
matrix_mkt/bcspwr08.mtx,PAR,16,dynamic,10,0.040
matrix_mkt/bcspwr08.mtx,PAR,16,dynamic,50,0.026
matrix_mkt/bcspwr08.mtx,PAR,16,dynamic,100,0.030
matrix_mkt/bcspwr08.mtx,PAR,4,dynamic,0,0.323
matrix_mkt/bcspwr08.mtx,PAR,4,dynamic,1,0.255
matrix_mkt/bcspwr08.mtx,PAR,4,dynamic,10,0.046
matrix_mkt/bcspwr08.mtx,PAR,4,dynamic,50,0.025
matrix_mkt/bcspwr08.mtx,PAR,4,dynamic,100,0.021
matrix_mkt/bcspwr08.mtx,PAR,64,guided,0,3.510
matrix_mkt/bcspwr08.mtx,PAR,64,guided,1,0.318
matrix_mkt/bcspwr08.mtx,PAR,64,guided,10,0.115
matrix_mkt/bcspwr08.mtx,PAR,64,guided,50,0.078
